V0_LATITUDE,V1_LATITUDE,V2_LATITUDE,V3_LATITUDE,V0_LONGITUDE,V1_LONGITUDE,V2_LONGITUDE,V3_LONGITUDE,mg/si,al/si,ca/si
26.476,20.823,20.813,26.466,-129.9,-129.963,-129.266,-129.166,0.312,0.81,0.42
-62.548,-68.227,-68.258,-62.572,-130.002,-130.691,-128.638,-128.382,0.232,0.764,0.349
1.36,-4.291,-4.3,1.351,-133.355,-133.417,-132.77,-132.71,0.304,0.922,0.33
61.834,56.57,56.551,61.813,-130.384,-130.531,-129.223,-128.833,0.206,0.566,0.31
-46.562,-51.816,-51.832,-46.576,-133.196,-133.419,-132.272,-132.18,0.357,1.054,0.485
29.888,24.666,24.655,29.877,-125.601,-125.664,-124.954,-124.85,0.352,0.696,0.3
-47.947,-53.203,-53.219,-47.962,-132.208,-132.451,-131.258,-131.158,0.253,0.842,0.314
21.378,15.723,15.714,21.369,-133.164,-133.219,-132.54,-132.458,0.37,0.717,0.282
79.228,73.535,73.498,79.171,-130.223,-130.925,-128.205,-126.032,0.28,1.198,0.57
14.057,8.406,8.397,14.048,-131.097,-131.157,-130.506,-130.43,0.34,1.439,0.298
-47.473,-52.731,-52.748,-47.489,-128.009,-128.257,-127.07,-126.963,0.755,0.837,0.585
28.06,22.41,22.399,28.048,-123.495,-123.568,-122.876,-122.765,0.424,1.072,0.561
58.388,53.136,53.118,58.367,-121.857,-122.008,-120.86,-120.523,0.436,0.875,0.286
-67.762,-73.035,-73.076,-67.793,-127.522,-128.558,-125.875,-125.493,0.432,0.685,0.357
56.665,50.99,50.975,56.648,-132.723,-132.83,-131.697,-131.402,0.249,0.499,0.411
-14.098,-19.75,-19.76,-14.107,-129.308,-129.397,-128.704,-128.641,0.323,0.748,0.559
15.633,10.399,10.39,15.623,-130.015,-130.073,-129.419,-129.345,0.546,1.121,0.547
64.65,59.384,59.364,64.625,-129.189,-129.37,-127.948,-127.47,0.394,0.834,0.401
9.373,4.14,4.131,9.363,-130.081,-130.14,-129.497,-129.43,0.324,0.9,0.194
-48.036,-53.295,-53.313,-48.052,-125.938,-126.198,-124.988,-124.876,0.264,0.66,0.493
71.242,65.969,65.943,71.208,-128.844,-129.139,-127.317,-126.497,0.55,1.007,0.526
23.142,17.905,17.896,23.131,-129.936,-129.994,-129.312,-129.226,0.21,0.559,0.357
-57.067,-62.74,-62.761,-57.084,-135.754,-136.173,-134.571,-134.428,0.258,0.76,0.261
50.087,44.842,44.827,50.07,-122.076,-122.183,-121.238,-121.016,0.266,0.839,0.235
-35.791,-41.453,-41.466,-35.803,-132.87,-133.025,-132.11,-132.036,0.3,0.654,0.274
28.734,23.082,23.072,28.723,-126.676,-126.746,-126.043,-125.933,0.315,1.348,0.406
25.311,20.078,20.068,25.301,-125.654,-125.718,-125.035,-124.94,0.454,1.236,0.587
-6.487,-11.72,-11.73,-6.496,-130.263,-130.333,-129.673,-129.615,0.466,0.92,0.297
-81.29,-86.447,-86.656,-81.372,-131.706,-144.497,-131.119,-126.329,0.406,0.752,0.45
-29.991,-35.651,-35.664,-30.003,-123.275,-123.418,-122.58,-122.502,0.433,1.033,0.399
